Date,company name,open,high,low,closing,avg_price_1,std_price_2,avg_volume_30,ROC_30,gold,"Financial updates: Company-specific quarterly, annual, or monthly financial performance reports or statements","Financial: Capital raising activities such as public offerings, loan or lease arrangements, and private placements",Financial:Dividend Declared,Financial: Annual and quater meetings,Technical: Discovery of gold,Operational: Expansion of mining operations (including M & A),Operational: Opening or clouser of mining,Operational updates: Changes in production output or efficiency,Operational: changes in key management positions,"Regulatory:  updates on lawsuits or penalties, Comply with regulatory standards sustainablity and corporate governance",Regulatory: Approval or rejection of mining permits & licenses,Geopolitical events: Political instability or conflicts
1/4/2023,Osisko Gold Royalties Ltd,-1.119550264,-1.101836138,-1.108569133,-0.999722614,-1.229000294,0.2136720982839903,0,-0.122573112,-1.490785757,0,0,0,0,0,0,0,0,0,0,0,0
1/4/2023,Eldorado Gold Corporation,-1.245543579,-1.234073341,-1.176813551,-1.13030377,-1.437609749,0.007925886,0,-0.33106302,-1.490785757,0,0,0,0,0,0,0,0,0,0,0,0
1/4/2023,IAMGOLD Corporation,-0.06627578,0.20824819775675565,0.084286037,0.40535949278030875,-0.207378164,0.39178760596788204,0,-0.000825465,-1.490785757,0,0,0,0,0,0,0,0,0,0,0,0
1/4/2023,"Coeur Mining, Inc.",0.8223505498167705,0.8415943377604547,0.8950774750408339,0.9173425856308149,0.6262013190967041,-0.306138746,0,-0.00958331,-1.490785757,0,0,0,0,0,0,0,0,0,0,0,0
1/4/2023,Equinox Gold Corp.,-1.808579485,-1.477020888,-1.762801745,-1.335943415,-2.156222697,2.0171381019441403,0,-0.169753937,-1.490785757,0,0,0,0,0,0,0,0,0,0,0,0
1/4/2023,Orla Mining Ltd.,0.27945258805061507,0.21302457958885682,0.073212215,-0.044486369,0.10284775102578024,0.607984234,0,0.15973334000318926,-1.490785757,0,0,0,0,0,0,0,0,0,0,0,0
1/4/2023,Sandstorm Gold Ltd.,0.6305164514938731,0.7633853111578227,0.6546360217491459,0.8303706443985782,0.3711446822932917,1.3278544481998942,0,0.102072548,-1.490785757,0,0,0,0,0,0,0,0,0,0,0,0
1/4/2023,Centerra Gold Inc.,-0.847712241,-0.828892592,-0.804188381,-0.688037838,-1.039416437,0.8013165414610615,0,-0.052160064,-1.490785757,0,0,0,0,0,0,0,0,0,0,0,0
1/4/2023,Seabridge Gold Inc.,0.557207513,1.0776646331226944,0.72556475,1.243251757,0.3289946153922264,-0.092876712,0,0.040875644,-1.490785757,0,0,0,0,0,0,0,0,0,0,0,0
1/4/2023,DRDGOLD Limited,-1.040396713,-1.003937234,-1.060324948,-0.912372562,-1.179345758,0.9708322168960146,0,-0.054583249,-1.490785757,0,0,0,0,0,0,0,0,0,0,0,0
