Date,company name,open,high,low,closing,avg_price_1,std_price_2,ROC_27,avg_volume_30,gold,"Financial updates: Company-specific quarterly, annual, or monthly financial performance reports or statements","Financial: Capital raising activities such as public offerings, loan or lease arrangements, and private placements",Financial:Dividend Declared,Financial: Annual and quater meetings,Technical: Discovery of gold,Operational: Expansion of mining operations (including M & A),Operational: Opening or clouser of mining,Operational updates: Changes in production output or efficiency,Operational: changes in key management positions,"Regulatory:  updates on lawsuits or penalties, Comply with regulatory standards sustainablity and corporate governance",Regulatory: Approval or rejection of mining permits & licenses,Geopolitical events: Political instability or conflicts
1/5/2023,Barrick Gold Cor,1.013953924,0.993001045,0.954409662,1.090766807,1.163106782,4.288052081,0.02130878,0,-1.788161345,0,0,0,0,0,0,0,0,0,0,0,0
1/5/2023,Wheaton Precious Metals Corp.,-1.186144931,-1.096261671,-1.091081544,-0.952782427,-0.956676716,1.862133358,-0.14411335,0,-1.788161345,0,0,0,0,0,0,0,0,0,0,0,0
1/5/2023,Franco-Nevada Corporation,0.152299178,0.048558271,0.115243932,0.136615334,0.300249013,1.748761612,0.258386927,0,-1.788161345,0,0,0,0,0,0,0,0,0,0,0,0
1/5/2023,Gold Fields Limited,-1.120771551,-1.036280893,-1.076433805,-0.967387134,-0.928137325,2.088996101,-0.183414217,0,-1.788161345,0,0,0,0,0,0,0,0,0,0,0,0
1/5/2023,AngloGold Ashant,0.008213646,0.072254127,0.070444253,0.15515642168535118,0.22830535332715915,2.4273748616652298,0.014902468711301103,0,-1.788161345,0,0,0,0,0,0,0,0,0,0,0,0
1/5/2023,Kinross Gold Corporation,-0.80827815,-0.905070876,-0.813413655,-0.815938271,-0.654327822,2.8817295495352226,-0.221791512,0,-1.788161345,0,0,0,0,0,0,0,0,0,0,0,0
1/5/2023,Alamos Gold Inc.,-1.399207419,-1.387805287,-1.372434661,-1.264958022,-1.198443867,2.2669676392288474,-0.242993082,0,-1.788161345,0,0,0,0,0,0,0,0,0,0,0,0
1/5/2023,Harmony Gold Mining Company Limited,-0.842718459,-0.877749596,-0.878426908,-0.796097108,-0.769099269,1.9869154987474291,-0.308715763,0,-1.788161345,0,0,0,0,0,0,0,0,0,0,0,0
1/5/2023,Pan American Silver Corp.,0.9247718128076415,0.7679102518226785,0.7110750374454765,0.9245640901902942,1.2612976391369348,1.9815925392806852,0.063807375,0,-1.788161345,0,0,0,0,0,0,0,0,0,0,0,0
1/5/2023,Endeavour Mining plc,0.620490087,0.5261619194902973,0.6074922283554806,0.6051310586039679,0.7785309770816583,2.3537470998301906,0.2130303680912483,0,-1.788161345,0,0,0,0,0,0,0,0,0,0,0,0
1/5/2023,Osisko Gold Royalties Ltd,-1.1593886,-1.082139854,-1.054635249,-0.986508182,-0.998061736,1.112467787367049,-0.117618877,0,-1.788161345,0,0,0,0,0,0,0,0,0,0,0,0
